identifier,trip_id,speed_avg,speed_urban_avg,speed_highway_avg,speed_rural_avg,acc_avg,acc_urban,acc_highway,acc_rural,duration,duration_urban,duration_highway,duration_rural,duration_driving,duration_driving_urban,duration_driving_highway,duration_driving_rural,distance_total,distance_urban,distance_highway,distance_rural,obd_fuel_consumption
ecodriver043,4739A268-0060-499C-9F14-49E1DD8DB94B,30.684233983286926,31.05269461077846,0.0,25.761600000000023,1.849491525423729,1.799240506329114,0.0,2.267368421052632,535.0,465.0,0.0,70.0,359.0,334.0,0.0,25.0,3.1835396923663195,2.8895525445160484,0.0,0.2939871478502705,8.426804716709807
ecodriver043,47DBA81D-A139-4E24-ABA1-D2CAA0939A1B,31.601412187915063,31.00942536047496,0.0,32.55587710354157,1.4045497873504895,1.4269039548022602,0.0,1.3666504804638675,1339.0,824.0,0.0,515.0,849.0,524.0,0.0,325.0,7.207979590401341,4.42208539349642,0.0,2.7858941969049136,9.22720457952842
ecodriver043,52430692-65F0-4CDF-9C9C-192B3423F6F1,32.19985903356788,33.86773708464713,0.0,28.254557137641484,1.582634639696587,1.7178383458646618,0.0,1.3049189189189188,1241.0,729.0,0.0,512.0,838.0,589.0,0.0,249.0,7.406379873105354,5.549399557755338,0.0,1.8569803153500104,9.434197407776672
ecodriver043,549CBC5E-A9F3-4CE9-A2D8-2F0C73FA9A26,34.00715114393806,34.43611842105268,0.0,32.946939337085674,1.765626373626374,1.928496732026144,0.0,1.4311409395973156,1148.0,712.0,0.0,436.0,854.0,608.0,0.0,246.0,7.85204523727827,5.806950107216791,0.0,2.045095130061483,9.3734335839599
ecodriver043,5A25B15A-88C4-4234-AA0F-95C0748E7478,29.609911500981934,29.156261922482173,0.0,30.23790247334663,1.3261050072461955,1.3132908088140254,0.0,1.3422883320077226,2636.0,1614.0,0.0,1022.0,1793.0,1041.0,0.0,752.0,14.155982625943237,8.223705850652026,0.0,5.932276775291221,7.899833978970669
ecodriver043,5B4CB3D6-6B39-4BB2-9C6C-0A904F86BA7E,33.142725011215326,32.44179195012979,0.0,35.49687919888456,1.438450416511912,1.4290509848946935,0.0,1.4651196172248806,1898.0,1484.0,0.0,414.0,1495.0,1152.0,0.0,343.0,13.530550727727556,10.293636131869407,0.0,3.236914595858145,7.180831694705411
ecodriver043,5F83F3F2-1EC9-4C42-8C75-AFEE5A2E670D,30.497452518767105,30.104431051623624,0.0,31.84853185595564,1.5752934131736531,1.5244531250000004,0.0,1.7421538461538464,2088.0,1609.0,0.0,479.0,1602.0,1241.0,0.0,361.0,13.655785771478604,10.447519157627914,0.0,3.208266613850676,7.504731401950793
ecodriver043,5FEB530C-690B-4FED-9C76-C63271C20D74,69.53645687645675,38.14658779576583,91.74807692307677,50.3090322580644,1.589747899159664,2.072601156069364,1.0556896551724138,2.15830985915493,1031.0,363.0,524.0,144.0,936.0,292.0,520.0,124.0,18.04883751659143,3.0320084898062136,13.227695965259477,1.7891330615257677,6.890488488378482
ecodriver043,5FF1047B-0C2E-4AEB-B807-BE682FEC0B0B,27.146396723996727,26.530981543739287,0.0,29.54470588235295,1.3254188948306598,1.1892839903459376,0.0,1.7100000000000002,414.0,346.0,0.0,68.0,333.0,265.0,0.0,68.0,2.513008851764645,1.9480854743859928,0.0,0.5649233773786503,10.38961038961039
ecodriver043,64624B8E-E400-4B67-B66C-28BDEFB8D24D,33.800768063280834,34.45541980270366,0.0,32.31971184671587,1.4317295597484276,1.4736448598130838,0.0,1.3454807692307695,1179.0,716.0,0.0,463.0,858.0,595.0,0.0,263.0,7.758462133266039,5.605930237507875,0.0,2.152531895758158,7.884984025559105
