count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
52;16130;1;0;1;0;84;1;1;67;0;1;0;0;0;255;255;255;255;360.6;1;6.5;6.6;81;0;1;0;17;0.682352941;0.682352941
53;18130;0;0;1;1;97;1;1;82;2;0;1;0;0;54.3;255;43.4;1.2;43.4;2.7;2.5;3.7;0;93;1;0;15;0.58;0.58
54;18380;0;1;1;1;113;1;1;77;0;0;4;1;2;255;255;60.4;1;60.4;2.6;15.6;15.8;0;62;1;0;36;0.577777778;0.577777778
55;18880;1;0;1;1;105;1;1;73;0;0;1;0;0;55.2;255;8.5;1.4;8.6;1.2;6.4;6.5;0;79;1;0;32;0.359375;0.359375
56;19080;0;0;1;1;90;4;1;62;1;0;1;0;0;33.4;255;2.8;1.6;3.2;2.4;4.6;5.2;0;79;1;0;28;0.364285714;0.364285714
57;19380;1;0;0;0;88;1;1;67;0;1;1;0;0;255;18.8;6.5;1.3;6.6;1;5.4;5.5;76;67;1;0;21;0.5;0.5
58;19805;0;0;1;1;98;1;1;69;1;1;0;1;2;33.2;255;255;255;360.6;2.3;6.6;7;73;0;1;0;29;0.413793103;0.413793103
59;19855;1;0;1;0;90;1;1;79;0;1;1;0;0;255;26.9;9.8;2.1;10;0.9;3.9;4;75;71;1;0;11;0.818181818;0.818181818
60;19905;0;1;1;0;94;1;1;68;0;0;2;0;0;255;255;6.4;255;255.1;1.8;1.6;2.4;0;91;1;0;26;0.284615385;0.284615385
61;20005;0;1;1;1;78;4;1;56;0;1;1;0;0;255;22.3;6.8;1.5;7;2.5;5.4;6;80;80;1;0;22;0.5;0.5
62;20230;0;1;1;0;84;1;1;59;1;1;1;0;0;17;37.8;1.8;1.8;2.5;2.7;5;5.7;72;80;1;0;25;0.428;0.428
63;20305;1;0;1;0;88;1;1;63;0;1;1;0;0;255;26.4;6.7;1;6.8;0.6;12.2;12.2;46;74;1;0;25;0.688;0.688
64;20655;0;0;1;1;87;1;1;58;0;1;1;1;2;255;18.8;9.2;1.8;9.4;1.9;4.6;5;62;64;1;0;29;0.344827586;0.344827586
65;21080;1;0;1;0;97;1;1;60;0;1;1;1;2;255;15.8;2.6;1.6;3.1;0.8;4.5;4.6;73;64;1;0;37;0.259459459;0.259459459
66;21380;0;1;1;0;107;2;1;65;1;1;1;0;0;25.9;61.5;24.8;1.8;24.9;3.2;6.6;7.3;84;72;1;0;42;0.292857143;0.292857143
67;22030;0;0;0;0;70;2;1;61;1;2;1;0;0;31.5;56.8;19;2.7;19.2;2.2;9.3;9.6;77;73;1;0;9;1.622222222;1.622222222
68;23655;1;0;1;0;81;1;1;54;0;0;1;0;0;255;255;8;2;8.2;0.9;3.4;3.5;0;67;1;0;27;0.314814815;0.314814815
69;23905;0;1;1;0;77;4;1;59;1;0;1;1;3;31.7;255;20.2;255;255.8;2.8;4.7;5.5;0;63;1;0;18;0.583333333;0.583333333
70;23905;0;1;0;0;79;4;1;59;1;0;1;1;3;31.7;255;20.2;255;255.8;2.5;11.6;11.9;0;74;1;0;20;0.845;0.845
71;24555;1;1;0;1;69;1;0;67;2;0;1;0;0;18.1;255;5;1.5;5.2;3.5;7.2;8;0;76;1;0;2;6.5;6.5
72;24555;0;0;0;0;70;1;0;67;2;0;1;0;0;38.6;255;5;1.5;5.2;0.1;14.1;14.1;0;76;1;0;3;6.366666667;6.366666667
73;24805;0;1;0;0;98;1;1;76;0;1;1;0;0;255;92.9;15;1.6;15.1;1.9;11.9;12.1;63;78;1;0;22;0.777272727;0.777272727
74;25080;1;0;1;1;86;1;1;73;4;1;1;0;0;57.5;49.5;19.4;1.2;19.4;1.3;3.2;3.5;71;70;1;0;13;0.653846154;0.653846154
75;25105;0;1;1;1;73;4;1;57;1;0;1;0;0;17.1;255;3.2;1.5;3.5;2.2;5;5.5;0;71;0;0;16;0.65625;0.65625
76;25605;1;1;0;1;77;1;0;73;1;1;1;0;0;13.2;54.2;21.6;1.8;21.7;3.1;3;4.3;70;61;1;0;4;2.325;2.325
77;25980;0;0;0;0;66;1;0;63;1;1;1;1;2;17.2;31.3;10.6;0.8;10.6;1.9;9.3;9.5;55;72;1;0;3;4.833333333;4.833333333
78;27055;1;0;0;0;81;2;1;71;0;1;1;0;0;255;53.8;46;2;46;1.6;5.2;5.4;58;72;1;0;10;1.04;1.04
79;27355;1;0;1;0;91;2;1;76;2;4;1;0;0;26.3;37.3;21.7;1.7;21.8;0.1;7.2;7.2;61;69;0;0;15;0.813333333;0.813333333
80;27380;1;0;0;0;76;1;1;72;1;4;1;0;0;54.3;41;0.1;2;2;1.3;12.8;12.9;61;69;1;0;4;4.475;4.475
81;27780;1;1;0;0;75;1;0;72;1;0;2;0;0;19.4;255;7.9;2.1;8.2;2.1;9;9.2;0;115;1;0;3;4.733333333;4.733333333
82;27980;1;1;1;0;85;1;0;65;0;0;1;0;0;255;255;72.7;0.5;72.7;2.7;0.9;2.8;0;76;1;0;20;0.39;0.39
83;28405;1;1;1;0;75;1;0;63;1;0;2;0;0;7.2;255;5.1;2.6;5.7;2.4;2.8;3.7;0;55;1;0;12;0.725;0.725
84;28830;1;0;1;1;103;1;1;69;0;0;1;0;0;255;255;4.1;1.6;4.4;1.2;4;4.2;0;82;1;0;34;0.270588235;0.270588235
85;29999;0;0;0;0;72;1;1;65;0;0;1;0;0;255;255;20.4;255;255.8;2.4;2.9;3.8;0;51;1;0;7;1.257142857;1.257142857
86;580;1;0;1;0;70;1;1;61;2;1;1;0;0;34.7;36.9;6.8;1.3;6.9;1.6;4;4.3;51;60;1;0;9;1.033333333;1.033333333
87;1105;1;0;1;1;73;1;1;57;1;2;1;0;0;65.5;33;255;1.6;255;1.1;4;4.1;79;73;1;0;16;0.56875;0.56875
88;1155;1;0;1;0;78;1;1;61;1;1;1;0;0;53.4;62.5;20.2;1.1;20.2;1.1;7.3;7.4;56;67;1;0;17;0.729411765;0.729411765
89;1355;1;1;0;0;80;1;0;76;0;1;1;0;0;255;65.6;16.3;255;255.5;2.2;7.5;7.8;62;0;1;0;4;3.2;3.2
90;1655;1;1;0;0;78;1;0;75;1;1;1;0;0;13.9;103.2;44.5;0.9;44.5;3.2;3.6;4.8;65;68;1;0;3;3.266666667;3.266666667
91;1855;0;1;0;0;74;1;1;70;0;1;1;0;0;255;39.7;9.1;1.2;9.2;2.5;2.3;3.4;71;73;1;0;4;2.1;2.1
92;2955;0;0;1;0;76;1;0;61;0;0;1;0;0;255;255;14.9;1.2;14.9;1.4;4.1;4.3;0;0;1;0;15;0.62;0.62
93;3330;0;1;1;1;88;1;1;69;2;0;1;0;0;56.2;255;73.3;2.2;73.3;3.1;2.5;4;0;88;1;0;19;0.473684211;0.473684211
